logFC	p-value	q-value	SYMBOL
-0.91	2.00E-04	0.013	RENBP
-1.03	2.00E-04	0.013	WNT2
1.82	2.00E-04	0.013	FUT2
-0.54	0.00021	0.013	LPAR2
0.67	0.00021	0.013	MYBL2
-0.41	0.00021	0.013	KIAA1147
-0.28	0.00021	0.013	RFWD2
0.79	0.00021	0.013	SCD5
0.29	0.00021	0.013	TRUB2
1.44	0.00022	0.013	KIF20A
-0.88	0.00022	0.013	KCNMA1
-0.8	0.00022	0.014	MYL9
0.58	0.00022	0.014	RECK
-0.56	0.00022	0.014	GDPD5
-0.43	0.00023	0.014	NFKBIE
-4.83	0.00023	0.014	KCTD4
0.27	0.00024	0.014	FAN1
-0.37	0.00024	0.014	NRBP1
-0.37	0.00024	0.014	KRTCAP3
-0.36	0.00025	0.014	ARMC10
-0.5	0.00025	0.014	EPS8L2
-0.5	0.00025	0.014	TMEM80
1.05	0.00025	0.015	TPX2
1.33	0.00025	0.015	KIF18B
-0.82	0.00025	0.015	ARRDC4
1.16	0.00025	0.015	CHST9
0.51	0.00025	0.015	CEP85
-0.67	0.00026	0.015	TMEM43
1.27	0.00026	0.015	RHBG
0.61	0.00026	0.015	ARHGAP20
0.48	0.00026	0.015	PFAS
-0.47	0.00026	0.015	TBC1D8
-0.26	0.00026	0.015	B3GAT3
0.66	0.00026	0.015	ROBO1
-0.39	0.00027	0.015	UBE2B
0.54	0.00027	0.015	PFKM
-0.5	0.00027	0.015	ACOT9
-0.39	0.00027	0.015	CTDSP2
-0.5	0.00028	0.015	FLOT1
-0.99	0.00028	0.015	ACTA2
0.34	0.00028	0.015	CHD3
-0.43	0.00029	0.016	VAPA
0.46	0.00029	0.016	SLC27A3
-1.12	3.00E-04	0.016	MYH7B
1.11	3.00E-04	0.016	NUSAP1
-1.89	3.00E-04	0.016	ASGR2
2.1	3.00E-04	0.016	GJB1
-0.2	0.00031	0.017	KIAA0368
-0.47	0.00032	0.017	CHIC2
-0.49	0.00032	0.017	UBXN6
-1.91	0.00032	0.017	LOXL4
0.72	0.00033	0.017	NID1
-0.61	0.00033	0.017	GRAMD1C
0.58	0.00033	0.017	DDR2
-1.61	0.00034	0.018	TNFRSF12A
-0.6	0.00034	0.018	BRI3
1.14	0.00034	0.018	TRPV1
-0.91	0.00034	0.018	ADAMTSL2
-0.61	0.00035	0.018	CLDN15
1.26	0.00035	0.018	TROAP
1.28	0.00035	0.018	PPP1R1B
0.84	0.00036	0.018	ANGPT1
-0.32	0.00036	0.018	OSER1
-0.57	0.00036	0.018	ZNF219
1.13	0.00037	0.018	SHCBP1
-0.4	0.00037	0.019	MAP4
-2.11	0.00037	0.019	CCL1
-0.41	0.00038	0.019	BCL2L1
-1.23	0.00038	0.019	IGFBP2
-0.39	0.00038	0.019	FAM177A1
1.03	0.00039	0.019	SVEP1
-0.54	4.00E-04	0.02	TSGA10
-0.86	0.00041	0.02	TUFT1
-0.58	0.00041	0.02	MARCKSL1
0.27	0.00041	0.02	KDM4A
-0.32	0.00041	0.02	AP2B1
-0.36	0.00042	0.02	GBAS
0.81	0.00042	0.02	SCG5
-0.56	0.00042	0.02	EZR
-0.51	0.00042	0.02	TSC22D1
-0.3	0.00042	0.02	SLC25A37
-0.55	0.00043	0.02	RAB35
-0.33	0.00043	0.02	UBE2Z
-0.41	0.00043	0.021	BCL2L13
-0.26	0.00044	0.021	TCEANC
-0.26	0.00044	0.021	RAB9A
0.62	0.00044	0.021	SPTBN4
-0.51	0.00044	0.021	DTD1
0.72	0.00044	0.021	TCF19
-0.25	0.00045	0.021	KIF1B
0.69	0.00045	0.021	PSD
-0.26	0.00045	0.021	PTDSS1
0.43	0.00045	0.021	FAM101B
-0.74	0.00046	0.021	RHOB
0.58	0.00047	0.021	HOXD9
-0.33	0.00047	0.021	ISCA1
-0.52	0.00047	0.021	PON2
-0.88	0.00048	0.022	TPM2
0.79	0.00048	0.022	LHX6
-0.65	0.00048	0.022	TLCD1
-1.24	0.00048	0.022	GJB3
1.22	0.00048	0.022	TOP2A
-0.31	0.00049	0.022	C16H1orf174
-0.58	0.00049	0.022	ATG2A
0.74	0.00049	0.022	CTPS1
-0.45	0.00049	0.022	MAFK
1.88	5.00E-04	0.022	NYX
-0.83	5.00E-04	0.022	MYH14
0.59	5.00E-04	0.022	CDC45
-0.74	5.00E-04	0.022	RNF157
-0.31	5.00E-04	0.022	LRRFIP1
-0.59	5.00E-04	0.022	FAM63A
-0.53	5.00E-04	0.022	HSPB1
-0.51	5.00E-04	0.022	HACD1
-0.58	0.00051	0.022	ATXN3
1.25	0.00051	0.022	SGOL1
-0.25	0.00051	0.022	ANKRD10
1.09	0.00051	0.022	MYL6B
-0.6	0.00052	0.022	UBALD2
-0.33	0.00052	0.022	AGPS
-0.34	0.00052	0.022	BLOC1S2
-0.67	0.00053	0.022	FAM229A
-0.33	0.00053	0.022	SPDYA
-0.33	0.00053	0.022	PPP1CB
-0.27	0.00053	0.022	CDKN1B
-0.64	0.00053	0.022	ANO10
-0.81	0.00054	0.022	RAB11FIP1
0.75	0.00054	0.022	COLEC12
-0.6	0.00054	0.022	TSPO
-0.48	0.00055	0.023	VAMP8
0.58	0.00056	0.023	SLC23A1
0.84	0.00057	0.023	FBXO5
-1.43	0.00057	0.023	LIPH
-0.23	0.00058	0.024	FAM195B
-0.45	0.00058	0.024	SEMA4F
-0.35	0.00058	0.024	ULK2
-0.55	0.00058	0.024	FBXW4
-0.24	0.00058	0.024	CD58
0.56	0.00059	0.024	NID2
-0.73	0.00059	0.024	PRUNE2
-0.49	0.00059	0.024	RRAS2
1.2	0.00059	0.024	SLC25A35
-0.55	0.00059	0.024	SLC25A40
1.44	6.00E-04	0.024	AQP6
-0.47	6.00E-04	0.024	CAST
-0.56	6.00E-04	0.024	TXNIP
-0.97	6.00E-04	0.024	TMOD2
0.7	0.00061	0.024	XPNPEP2
-1.64	0.00061	0.024	RET
0.41	0.00061	0.024	PSMD10
-0.63	0.00062	0.024	CCDC152
1.13	0.00062	0.024	KIF23
1.84	0.00062	0.024	OCSTAMP
-0.39	0.00062	0.024	RSU1
-0.22	0.00062	0.024	PRPF18
-0.28	0.00062	0.024	GNAL
-0.32	0.00063	0.024	RUFY3
-0.42	0.00063	0.024	TTC23
-0.31	0.00063	0.024	WASH1
0.3	0.00063	0.024	TXNL4B
-0.53	0.00064	0.024	GNG5
-1.07	0.00064	0.024	SOWAHA
1.24	0.00064	0.024	CDCA5
-0.43	0.00064	0.024	LAMTOR5
1.03	0.00065	0.024	KIF14
-0.5	0.00066	0.024	LAMP1
-0.7	0.00066	0.024	MIR2443
-0.45	0.00067	0.025	WBP2
-0.45	0.00067	0.025	UNC13D
-0.26	0.00067	0.025	MACF1
-0.26	0.00067	0.025	MIR2416
-1.27	0.00067	0.025	FNDC4
-0.42	0.00067	0.025	CNNM3
-0.82	0.00068	0.025	GMPR
0.65	0.00068	0.025	FLRT3
-0.37	0.00068	0.025	GAB1
-0.32	0.00068	0.025	HBP1
-0.48	0.00068	0.025	RPH3AL
-0.28	0.00068	0.025	TMOD1
1.33	0.00068	0.025	SCGB1D
-0.52	0.00069	0.025	YIF1B
-0.32	7.00E-04	0.025	GSTK1
0.67	0.00072	0.026	NRP2
0.37	0.00072	0.026	NA
-1.36	0.00072	0.026	PABPC1L
-1.06	0.00074	0.026	PPFIBP2
1.19	0.00074	0.026	MXD3
-0.23	0.00074	0.026	C23H6orf89
1.31	0.00075	0.026	KIF4A
0.51	0.00075	0.026	MLEC
0.51	0.00075	0.026	UNC119B
0.65	0.00075	0.026	SGCE
0.42	0.00075	0.026	ARMT1
1.05	0.00075	0.026	CCBE1
-0.23	0.00077	0.027	IST1
-1.36	0.00077	0.027	NUPR1
1.18	0.00077	0.027	ARHGAP11A
-0.94	0.00078	0.027	LAMC2
-0.65	0.00079	0.027	NPC1
0.97	0.00079	0.027	KIFC1
-0.47	8.00E-04	0.027	LEPROT
-0.28	8.00E-04	0.028	DHX32
-0.26	0.00081	0.028	LMBRD1
-0.3	0.00081	0.028	ARHGAP10
1.11	0.00081	0.028	CHTF18
-0.39	0.00082	0.028	TMEM256
-0.44	0.00082	0.028	RNF130
-0.53	0.00082	0.028	TSSK3
-0.3	0.00083	0.028	MRPS35
-0.3	0.00083	0.028	REP15
-0.3	0.00083	0.028	PPFIBP1
1.06	0.00083	0.028	KIF22
-1.31	0.00083	0.028	MYLK2
-0.38	0.00083	0.028	KIAA1522
-0.55	0.00083	0.028	IL27RA
-0.27	0.00084	0.028	NRBP2
-0.68	0.00084	0.028	HEBP2
-0.37	0.00084	0.028	TMEM192
-0.3	0.00085	0.028	NGLY1
-0.32	0.00085	0.028	KLHDC3
1.2	0.00085	0.028	ASPM
0.71	0.00085	0.028	CCNA2
-0.31	0.00085	0.028	RAB22A
-0.34	0.00086	0.028	LOC104968571
-1.62	0.00086	0.028	C7H19orf57
1.07	0.00086	0.028	CKS2
-0.23	0.00086	0.028	PPP3CC
-0.28	0.00087	0.028	ZNF395
1.55	0.00088	0.028	LOC527397
-0.7	0.00088	0.028	KCNJ2
-1.51	0.00089	0.028	FOSL1
0.27	0.00089	0.029	SCP2
1.59	9.00E-04	0.029	OMD
0.78	9.00E-04	0.029	COL14A1
-0.34	0.00091	0.029	ZDHHC9
-1.88	0.00092	0.029	RNF212B
0.69	0.00093	0.029	SLC9B2
-1.59	0.00093	0.029	LIF
-0.99	0.00093	0.029	OSGIN1
-0.43	0.00094	0.029	CLIC3
0.85	0.00095	0.03	BARD1
0.96	0.00095	0.03	AFF2
-0.5	0.00095	0.03	SH3BGRL3
-0.43	0.00096	0.03	PLCXD2
1.3	0.00096	0.03	SAPCD2
-0.48	0.00098	0.03	MYO1C
-0.48	0.00098	0.03	STEAP3
-0.82	0.00098	0.03	MAFF
-0.37	0.00098	0.03	LENEP
-0.37	0.00098	0.03	FLAD1
-0.3	0.00099	0.03	ATL3
0.85	0.00099	0.03	SRPX
-0.41	0.00099	0.03	UBE2E2
0.67	0.001	0.03	SKA3
0.73	0.001	0.03	ARSE
0.5	0.001	0.031	FBLN5
-0.82	0.0011	0.032	JPH2
-0.69	0.0011	0.032	PNPLA2
-0.59	0.0011	0.032	TMEM170A
-0.38	0.0011	0.032	STRN
-0.53	0.0011	0.032	CADM1
0.64	0.0011	0.032	NT5C
-0.35	0.0011	0.032	WBP1L
-0.72	0.0011	0.032	ZFP36
1.19	0.0011	0.032	CAPN6
1.28	0.0011	0.032	LRRC17
1.34	0.0011	0.032	NEK2
-0.43	0.0011	0.032	LOC104968494
-0.37	0.0011	0.032	EIF6
1.26	0.0011	0.033	CDC20
-0.47	0.0011	0.033	ARRDC3
-0.9	0.0012	0.033	CSTB
-0.9	0.0012	0.033	CSTB
-0.39	0.0012	0.033	IL10RB
-0.53	0.0012	0.033	SLC6A20
-0.21	0.0012	0.033	GNA13
-0.81	0.0012	0.033	CH25H
0.81	0.0012	0.033	FANCI
-0.31	0.0012	0.033	TTL
2.03	0.0012	0.033	MSLN
-0.77	0.0012	0.034	EFHD2
-0.39	0.0012	0.034	ALS2CL
-0.4	0.0012	0.034	INSR
-0.63	0.0012	0.034	HIP1R
0.61	0.0012	0.034	CEP78
-0.43	0.0012	0.034	APOPT1
1.2	0.0012	0.034	SPAG5
-1.29	0.0012	0.034	EIF4EBP1
0.48	0.0012	0.034	JDP2
1.21	0.0012	0.034	FAM64A
-0.34	0.0012	0.034	FAM234A
1.06	0.0012	0.034	CENPN
-0.25	0.0012	0.034	BAG4
0.3	0.0012	0.034	PRDX3
0.49	0.0012	0.034	EPHB3
-0.32	0.0012	0.034	MAFG
-0.32	0.0012	0.034	SIRT7
0.34	0.0012	0.034	ODC1
1.13	0.0012	0.034	VILL
0.68	0.0012	0.034	NA
0.93	0.0012	0.034	NA
-0.43	0.0012	0.034	FCHO2
-0.55	0.0012	0.034	CNN3
1.2	0.0012	0.034	CDCA8
0.4	0.0013	0.034	ELP4
0.44	0.0013	0.034	FAM122B
-0.36	0.0013	0.034	LPIN2
-1.19	0.0013	0.034	STX19
-0.26	0.0013	0.034	TTC1
-0.99	0.0013	0.034	TNS4
-0.68	0.0013	0.034	RIN2
-0.55	0.0013	0.034	MIR3533
-0.55	0.0013	0.034	ACTG1
1.15	0.0013	0.034	NA
1.15	0.0013	0.034	IQGAP3
0.41	0.0013	0.034	NOL6
-0.26	0.0013	0.035	KIF1C
-0.58	0.0013	0.035	ITPR2
-0.42	0.0013	0.035	ZMYND15
-0.62	0.0013	0.035	ABCB9
0.38	0.0013	0.035	LAMB1
-0.51	0.0013	0.035	MBOAT1
0.43	0.0013	0.035	PIDD1
-0.5	0.0014	0.035	PLXNB2
0.39	0.0014	0.035	ABHD17B
-0.41	0.0014	0.035	FLII
-0.57	0.0014	0.035	SGSH
-0.73	0.0014	0.035	LIMS2
-1.15	0.0014	0.035	CLDN3
-0.41	0.0014	0.035	AIDA
0.85	0.0014	0.036	PRC1
1.14	0.0014	0.036	FANCD2
-0.45	0.0014	0.036	MXI1
-0.25	0.0014	0.036	RNF114
-0.22	0.0014	0.036	RALA
-0.35	0.0014	0.036	EIF3M
-0.3	0.0014	0.036	WDR97
-0.3	0.0014	0.036	MAF1
-0.57	0.0014	0.036	NA
0.89	0.0014	0.036	E2F2
-0.43	0.0014	0.036	WDR91
-0.42	0.0014	0.036	SSX2IP
-0.62	0.0014	0.036	PLBD2
-0.66	0.0014	0.036	LY96
-1.26	0.0014	0.036	THBS1
0.39	0.0014	0.036	DERL3
-0.44	0.0014	0.036	ARFRP1
-0.42	0.0014	0.036	C2CD2L
0.41	0.0014	0.036	FPGS
1.14	0.0014	0.036	CES5A
-0.78	0.0014	0.036	CDS1
-1.03	0.0014	0.036	GRP
1.25	0.0015	0.036	KIF15
-0.59	0.0015	0.036	FBXO48
0.48	0.0015	0.036	TLL1
0.97	0.0015	0.036	KLRG2
-0.47	0.0015	0.036	REEP4
-0.34	0.0015	0.037	FBXL3
1.21	0.0015	0.037	PTTG1
-0.4	0.0015	0.037	TNIP1
0.77	0.0015	0.037	CAMK2N2
-0.6	0.0015	0.037	TPMT
1.02	0.0015	0.037	UHRF1
1.26	0.0015	0.037	KIF11
1.75	0.0015	0.037	MSTN
-0.95	0.0015	0.037	KCNK3
1.16	0.0015	0.037	CDCA3
0.44	0.0015	0.037	IKZF4
-0.44	0.0015	0.037	FAM129B
0.8	0.0015	0.037	ANGPT2
-0.89	0.0015	0.037	FSTL3
-0.33	0.0015	0.037	SELO
-0.66	0.0015	0.037	BZW1
-0.18	0.0015	0.037	BICD2
-0.54	0.0015	0.037	B4GALT5
-0.31	0.0016	0.037	RAB4A
0.27	0.0016	0.037	RGL2
-0.97	0.0016	0.037	KRT5
-0.35	0.0016	0.037	CCNI
1.42	0.0016	0.037	ACP5
-0.43	0.0016	0.038	KLHL21
0.58	0.0016	0.038	ROM1
1.1	0.0016	0.038	MYH7
1.04	0.0016	0.038	LHFPL3
-0.32	0.0016	0.038	MAPKAPK2
-0.28	0.0016	0.038	FCHSD1
-0.28	0.0016	0.038	ARAP3
0.42	0.0016	0.038	ZMYM3
0.4	0.0016	0.038	TMEM232
-2.01	0.0016	0.038	FBP2
0.64	0.0016	0.038	SCARA5
-2.02	0.0016	0.038	LGI2
-0.38	0.0016	0.038	RFFL
0.78	0.0016	0.038	CIT
-0.65	0.0016	0.038	RIMKLB
0.35	0.0016	0.038	SUGP2
0.33	0.0016	0.038	DECR1
-0.36	0.0016	0.038	EIF2S3
-0.36	0.0017	0.038	MOB2
-1.04	0.0017	0.038	RASGEF1C
0.67	0.0017	0.038	RELT
1.17	0.0017	0.038	HJURP
0.36	0.0017	0.038	GTF2I
-0.47	0.0017	0.038	ZDHHC20
1.33	0.0017	0.038	CCNB1
0.22	0.0017	0.038	ZMYND8
1.02	0.0017	0.039	TENM4
1.24	0.0017	0.039	PBK
-0.43	0.0017	0.039	MKL2
0.9	0.0017	0.039	UNC5C
-0.47	0.0017	0.039	JAML
-0.47	0.0017	0.039	MPZL3
-0.47	0.0017	0.039	MPZL2
0.53	0.0017	0.039	CCNB3
0.24	0.0017	0.039	CLASP1
-0.27	0.0017	0.039	TRIM25
0.98	0.0017	0.039	RECQL4
-1.22	0.0017	0.039	TMPRSS13
-0.54	0.0017	0.039	PISD
-0.38	0.0017	0.039	EEF2
-0.27	0.0017	0.039	SERINC3
1.17	0.0017	0.039	FOXM1
0.83	0.0017	0.039	OIP5
1.57	0.0018	0.039	NRG2
0.37	0.0018	0.039	FAM120C
-0.56	0.0018	0.039	PYGB
-0.47	0.0018	0.039	SEMA6A
-0.36	0.0018	0.039	TBC1D17
0.59	0.0018	0.039	NCAPG
-0.32	0.0018	0.039	EIF3D
0.24	0.0018	0.04	MZF1
-0.52	0.0018	0.04	FDFT1
-0.35	0.0018	0.04	NFKBIL1
0.25	0.0018	0.04	CCAR2
-0.44	0.0018	0.04	PAM
-0.54	0.0018	0.04	ARRDC2
0.44	0.0018	0.04	UBE2S
-0.44	0.0018	0.04	TMEM79
-0.3	0.0018	0.04	TPT1
0.8	0.0018	0.04	ROR1
0.61	0.0018	0.04	SARDH
-0.75	0.0018	0.04	MGAT4A
-0.4	0.0019	0.04	R3HDM4
0.54	0.0019	0.04	CCNE1
-0.38	0.0019	0.04	NPRL2
-0.38	0.0019	0.04	TMEM115
-0.27	0.0019	0.04	QDPR
0.4	0.0019	0.04	TTYH3
-0.51	0.0019	0.04	NEDD9
-0.3	0.0019	0.04	FAXC
-1.06	0.0019	0.04	C28H10orf10
-0.66	0.0019	0.04	NEDD4L
-0.44	0.0019	0.04	PAWR
-0.42	0.0019	0.041	NFE2L2
1.28	0.0019	0.041	NCKAP5
-0.43	0.0019	0.041	PTPN21
0.94	0.0019	0.041	E2F7
-0.45	0.002	0.041	CDC26
